Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
Afghanistan,Chromium,(t),2000,2000,2000,5300,19100
Afghanistan,Fluorspar,(t),10000,50000,10000,10000,27600
Afghanistan,Gypsum,(t),36161,24682,21779,16349,10991
Afghanistan,Salt,(t),47944,41157,12015,10700,41573
Afghanistan,Talc,(t),356789,345052,95923,441372,382211
Afghanistan,Steam Coal,(t),2444600,1604700,56620,340800,517000
Afghanistan,Nat. Gas,(Mio m3),153,146,59,153,185
Albania,Chromium,(t),322100,357200,212650,242200,383400
Albania,Nickel,(t),4200,2960,3760,4090,1570
Albania,Copper,(t),2515,5900,3070,4430,3470
Albania,Gypsum,(t),102016,106070,111880,116295,78239
Albania,Salt,(t),31500,30000,30000,30000,30000
Albania,Steam Coal,(t),297530,95380,151231,242425,182080
Albania,Nat. Gas,(Mio m3),82,71,57,57,51
Albania,Petroleum,(t),910670,1005090,712427,757393,657402
Algeria,Iron,(t),1178800,1068600,1016200,942000,1074000
Algeria,Zinc,(t),500,500,1000,500,900
Algeria,Gold,(kg),286,70,58,71,138
Algeria,Silver,(kg),30,30,20,12,20
Algeria,Baryte,(t),39426,31138,32940,44662,45000
Algeria,Bentonite,(t),36000,36700,34200,31700,32000
Algeria,Diatomite,(t),2468,2437,3040,3066,3000
Algeria,Feldspar,(t),170000,170000,170000,170000,170000
Algeria,Gypsum,(t),2200000,2200000,2200000,2500000,2500000
Algeria,Kaolin,(t),100000,100000,100000,120000,120000
Algeria,Phosphates,(t),409400,455100,409900,616000,671500
Algeria,Salt,(t),106200,100800,95100,107800,100000
Algeria,Sulfur,(t),6000,6000,6000,6000,6000
Algeria,Nat. Gas,(Mio m3),97467,89983,84597,105037,101436
Algeria,Petroleum,(t),65331000,64330000,57535000,58200000,62066000
Angola,Iron,(t),,,0,96280,5880
Angola,Manganese,(t),,,0,20700,32400
Angola,Gold,(kg),0,23,59,32,79
Angola,Diam. (Gem),(ct),8490500,8209365,7118240,7597280,7606550
Angola,Diam. (Ind),(ct),943390,912150,790920,1124200,1156760
Angola,Gypsum,(t),32000,119260,165290,79680,266570
Angola,Salt,(t),103439,109445,164433,201699,213800
Angola,Nat. Gas,(Mio m3),6490,6800,7550,6080,5540
Angola,Petroleum,(t),73630500,68858490,63474320,55982210,56592280
Argentina,Iron,(t),40560,0,0,0,0
Argentina,Molybdenum,(t),364,0,0,0,0
Argentina,Aluminium,(t),439600,438434,309804,338239,400038
Argentina,Cadmium,(t),74,80,46,0,0
Argentina,Copper,(t),17435,0,0,0,0
Argentina,Lead,(t),28260,29768,13600,17098,18599
Argentina,Lithium,(t),13810,13670,12620,12870,14210
Argentina,Mercury,(t),50,50,0,0,0
Argentina,Zinc,(t),22050,14876,8300,6188,3893
Argentina,Gold,(kg),58397,53125,34936,37280,41370
Argentina,Silver,(kg),1023768,1070670,767087,843230,882140
Argentina,Baryte,(t),7225,3898,0,0,0
Argentina,Bentonite,(t),184969,120000,98000,133235,141718
Argentina,Boron,(t),71212,181818,134604,188870,164120
Argentina,Diatomite,(t),72490,94610,98575,156342,183361
Argentina,Feldspar,(t),124500,10000,32000,40000,40000
Argentina,Fluorspar,(t),7924,1500,48000,48000,10000
Argentina,Gypsum,(t),897217,761013,499092,690000,737000
Argentina,Kaolin,(t),17000,11853,20628,25000,26000
Argentina,Perlite,(t),18794,1850,13176,18016,32450
Argentina,Salt,(t),1784020,1566600,1051445,1300000,600000
Argentina,Talc,(t),13072,10000,2304,1800,2400
Argentina,Steam Coal,(t),81993,154782,24800,25300,25300
Argentina,Nat. Gas,(Mio m3),40930,43220,39570,40940,42350
Argentina,Petroleum,(t),24369600,25327500,24000100,25568200,28997300
Armenia,Molybdenum,(t),5422,7137,11909,10611,10991
